id,listing_url,name,room_type,neighbourhood,latitude,longitude,price,availability_30,calendar_last_scraped,number_of_reviews,review_scores_accuracy
8907289,https://www.airbnb.com/rooms/8907289,2-Room Suite in Vibrant Mission,Private room,Mission District,37.75267808,-122.4075329,$133.00 ,10,4/2/2017,97,10
13953008,https://www.airbnb.com/rooms/13953008,Large 1bd condo in Mission Dolores!,Entire home/apt,,37.76455721,-122.4239801,$232.00 ,0,4/2/2017,18,10
16232349,https://www.airbnb.com/rooms/16232349,Cozy Mission apt,Entire home/apt,,37.751588,-122.4187695,$100.00 ,0,4/2/2017,0,
8384398,https://www.airbnb.com/rooms/8384398,cozy apartment in the Mission,Entire home/apt,Mission District,37.75618418,-122.421447,$200.00 ,0,4/2/2017,23,10
223213,https://www.airbnb.com/rooms/223213,Sunny condo - Mission District,Entire home/apt,Mission District,37.7569887,-122.4085638,$450.00 ,28,4/2/2017,0,
16363397,https://www.airbnb.com/rooms/16363397,Private BDRM/BA in trendy SF Apt w/360 views!,Private room,,37.76313587,-122.4079654,$80.00 ,0,4/2/2017,2,10
5468024,https://www.airbnb.com/rooms/5468024,"large, comfy br in fun neighborhood",Private room,Mission District,37.74907405,-122.4124016,$99.00 ,0,4/2/2017,88,10
1356129,https://www.airbnb.com/rooms/1356129,Private Garden Room in Victorian Home!,Entire home/apt,Noe Valley,37.75083547,-122.4234114,$145.00 ,1,4/2/2017,133,10
10710892,https://www.airbnb.com/rooms/10710892,Sunny Modern Mission Dolores Condo,Entire home/apt,Mission District,37.75857822,-122.4222351,$215.00 ,0,4/2/2017,3,9
16178751,https://www.airbnb.com/rooms/16178751,"Private, Quiet Apartment in Heart of the Mission",Entire home/apt,Mission District,37.75913346,-122.4196755,$185.00 ,0,4/2/2017,5,10
15097007,https://www.airbnb.com/rooms/15097007,Room in a lovely flat,Private room,Mission District,37.75746793,-122.4125947,$350.00 ,29,4/2/2017,0,
16351934,https://www.airbnb.com/rooms/16351934,Queen bedroom in gorgeous bright Dolores luxury,Private room,Mission District,37.76171887,-122.4234831,$175.00 ,12,4/2/2017,10,10
8564563,https://www.airbnb.com/rooms/8564563,Comfy Classic Victorian - 2 BR,Entire home/apt,Mission District,37.76867194,-122.4178576,$165.00 ,0,4/2/2017,22,10
6852699,https://www.airbnb.com/rooms/6852699,Spacious 1 BDR apt by Dolores Park,Entire home/apt,Mission District,37.76379548,-122.425448,$149.00 ,0,4/2/2017,23,10
6336315,https://www.airbnb.com/rooms/6336315,Edwardian Condo Centrally Located,Entire home/apt,SoMa,37.77017333,-122.4215716,$240.00 ,0,4/2/2017,0,
2074584,https://www.airbnb.com/rooms/2074584,Clean and Modern Mission Cottage,Entire home/apt,Mission District,37.76025251,-122.4166307,$206.00 ,7,4/2/2017,123,10
765739,https://www.airbnb.com/rooms/765739,Beautiful Mission Victorian Home,Entire home/apt,Mission District,37.75104087,-122.4186658,$575.00 ,0,4/2/2017,7,10
9525911,https://www.airbnb.com/rooms/9525911,Private room in top Edwardian Flat,Private room,Mission District,37.76764528,-122.4239505,$120.00 ,24,4/2/2017,14,10
11650390,https://www.airbnb.com/rooms/11650390,Heart of Mission District - Queen,Private room,Mission District,37.75122694,-122.4183758,$74.00 ,0,4/2/2017,1,10
14773204,https://www.airbnb.com/rooms/14773204,Luxury Streetside Apt Near Public Transportation,Private room,,37.76667538,-122.4170325,$105.00 ,11,4/2/2017,36,10
5470034,https://www.airbnb.com/rooms/5470034,Small Room steps from Valencia,Private room,Mission District,37.76054446,-122.421676,$59.00 ,10,4/2/2017,110,9
1814061,https://www.airbnb.com/rooms/1814061,Modern luxury; Noe Valley pvt flat,Entire home/apt,Noe Valley,37.75110161,-122.4241432,$150.00 ,30,4/2/2017,6,10
2046807,https://www.airbnb.com/rooms/2046807,Charming Private Studio in Mission,Entire home/apt,Mission District,37.76045876,-122.4190438,$149.00 ,1,4/2/2017,78,9
486950,https://www.airbnb.com/rooms/486950,Large room in Slick Victorian ,Private room,Mission District,37.75311615,-122.4086315,$100.00 ,0,4/2/2017,0,
592883,https://www.airbnb.com/rooms/592883,BEDROOM-f (July 31--->),Private room,Mission District,37.75731078,-122.4095373,$75.00 ,0,4/2/2017,19,10
9350676,https://www.airbnb.com/rooms/9350676,Mission District Artsy 1 BDRM,Entire home/apt,Mission District,37.75174324,-122.4162526,$299.00 ,30,4/2/2017,1,
1093088,https://www.airbnb.com/rooms/1093088,Mission/Castro one-bedroom suite,Private room,Mission District,37.76777714,-122.4243382,$68.00 ,5,4/2/2017,160,10
13725185,https://www.airbnb.com/rooms/13725185,Bright Basement Apartment UNFURNISHED,Entire home/apt,Mission District,37.76121341,-122.4086907,$99.00 ,6,4/2/2017,0,
2502127,https://www.airbnb.com/rooms/2502127,Sunny Mission 2BD - Victorian house,Entire home/apt,Mission District,37.75297177,-122.4128058,$211.00 ,30,4/2/2017,37,10
16231927,https://www.airbnb.com/rooms/16231927,1-Br Mission (Near Dolores Park) - Holidays,Entire home/apt,Mission District,37.75833813,-122.4229128,$125.00 ,3,4/2/2017,7,10
2043364,https://www.airbnb.com/rooms/2043364,Cozy Full Apart with parking,Entire home/apt,,37.76040329,-122.415501,$85.00 ,0,4/2/2017,4,9
2010572,https://www.airbnb.com/rooms/2010572,SUNNY ROOM/PRIVATE BATH/LIVINGROOM!,Private room,Mission District,37.75753955,-122.4106128,$97.00 ,24,4/2/2017,33,9
